,open,high,low,close,volume
2015-09-14,116.58,116.89,114.86,115.31,58363431.0
2015-09-15,115.93,116.53,114.42,116.28,43341155.0
2015-09-16,116.25,116.54,115.44,116.41,37173489.0
2015-09-17,115.66,116.49,113.715,113.92,64112641.0
2015-09-18,112.21,114.3,111.87,113.45,74285291.0
2015-09-21,113.67,115.37,113.66,115.21,50221965.0
2015-09-22,113.38,114.18,112.5201,113.4,50346159.0
2015-09-23,113.63,114.72,113.3,114.32,35756716.0
2015-09-24,113.25,115.5,112.37,115.0,50219475.0
2015-09-25,116.44,116.69,114.02,114.71,56151926.0
2015-09-28,113.85,114.57,112.44,112.44,50782189.0
2015-09-29,112.83,113.51,107.86,109.06,73365384.0
2015-09-30,110.17,111.54,108.73,109.95,65041596.0
2015-10-01,109.07,109.62,107.31,109.58,63929100.0
2015-10-02,108.01,111.0136,107.55,110.38,58019758.0
2015-10-05,109.88,111.3698,109.07,110.78,52064743.0
2015-10-06,110.63,111.74,109.765,111.31,48856977.0
2015-10-07,111.74,111.77,109.41,110.78,46765550.0
2015-10-08,110.19,110.19,108.21,109.5,61979577.0
2015-10-09,110.0,112.28,109.49,112.12,52766140.0
2015-10-12,112.73,112.75,111.44,111.6,30467204.0
2015-10-13,110.82,112.45,110.68,111.79,33049256.0
2015-10-14,111.29,111.52,109.56,110.21,44462449.0
2015-10-15,110.93,112.1,110.49,111.86,37673452.0
2015-10-16,111.78,112.0,110.53,111.04,39232609.0
2015-10-19,110.8,111.75,110.11,111.73,29759153.0
2015-10-20,111.34,114.17,110.82,113.77,48967763.0
2015-10-21,114.0,115.58,113.7,113.76,42326974.0
2015-10-22,114.33,115.5,114.1,115.5,41654089.0
2015-10-23,116.7,119.228,116.33,119.08,59366914.0
2015-10-26,118.08,118.13,114.92,115.28,66333781.0
2015-10-27,115.4,116.54,113.99,114.55,69884400.0
2015-10-28,116.93,119.3,116.06,119.27,85551352.0
2015-10-29,118.7,120.69,118.27,120.53,51227334.0
2015-10-30,120.99,121.22,119.45,119.5,49365254.0
2015-11-02,119.87,121.36,119.61,121.18,32203267.0
2015-11-03,120.79,123.49,120.7,122.57,45518976.0
2015-11-04,123.13,123.82,121.62,122.0,44886050.0
2015-11-05,121.85,122.69,120.18,120.92,39552680.0
2015-11-06,121.11,121.81,120.62,121.06,33042283.0
2015-11-09,120.96,121.81,120.05,120.57,33871405.0
2015-11-10,116.9,118.07,116.061,116.77,59127931.0
2015-11-11,116.37,117.42,115.21,116.11,45217971.0
2015-11-12,116.26,116.82,115.65,115.72,32525579.0
2015-11-13,115.2,115.57,112.27,112.34,45812403.0
2015-11-16,111.38,114.24,111.0,114.175,38106701.0
2015-11-17,114.92,115.05,113.32,113.69,27583101.0
2015-11-18,115.76,117.49,115.5,117.29,46674697.0
2015-11-19,117.64,119.75,116.76,118.78,43295820.0
2015-11-20,119.2,119.92,118.85,119.3,34287096.0
2015-11-23,119.27,119.73,117.34,117.75,32482528.0
2015-11-24,117.33,119.35,117.12,118.88,42803172.0
2015-11-25,119.21,119.23,117.92,118.03,21388308.0
2015-11-27,118.29,118.41,117.6,117.81,13046445.0
2015-11-30,117.99,119.41,117.75,118.3,39180322.0
2015-12-01,118.75,118.81,116.86,117.34,34852374.0
2015-12-02,117.05,118.11,116.08,116.28,33386563.0
2015-12-03,116.55,116.79,114.22,115.2,41569509.0
2015-12-04,115.29,119.25,115.11,119.03,57776977.0
2015-12-07,118.98,119.86,117.81,118.28,32084249.0
2015-12-08,117.52,118.6,116.86,118.23,34309450.0
2015-12-09,117.64,117.69,115.08,115.62,46361357.0
2015-12-10,116.04,116.94,115.51,116.17,29212727.0
2015-12-11,115.19,115.39,112.851,113.18,46886161.0
2015-12-14,112.18,112.68,109.79,112.48,65003609.0
2015-12-15,111.94,112.8,110.35,110.49,53323105.0
2015-12-16,111.07,111.99,108.8,111.34,56238467.0
2015-12-17,112.02,112.25,108.98,108.98,44772827.0
2015-12-18,108.91,109.52,105.81,106.03,96453327.0
2015-12-21,107.28,107.37,105.57,107.33,47590610.0
2015-12-22,107.4,107.72,106.451,107.23,32789367.0
2015-12-23,107.27,108.85,107.2,108.61,32657354.0
2015-12-24,109.0,109.0,107.95,108.03,13596680.0
2015-12-28,107.59,107.69,106.1807,106.82,26704210.0
2015-12-29,106.96,109.43,106.86,108.74,30931243.0
2015-12-30,108.58,108.7,107.18,107.32,25213777.0
2015-12-31,107.01,107.03,104.82,105.26,40912316.0
2016-01-04,102.61,105.368,102.0,105.35,67649387.0
2016-01-05,105.75,105.85,102.41,102.71,55790992.0
2016-01-06,100.56,102.37,99.87,100.7,68457388.0
2016-01-07,98.68,100.13,96.43,96.45,81094428.0
2016-01-08,98.55,99.11,96.76,96.96,70798016.0
2016-01-11,98.97,99.06,97.34,98.53,49739377.0
2016-01-12,100.55,100.69,98.8399,99.96,49154227.0
2016-01-13,100.32,101.19,97.3,97.39,62439631.0
2016-01-14,97.96,100.48,95.74,99.52,63170127.0
2016-01-15,96.2,97.71,95.36,97.13,79833891.0
