,volume
2015-09-14,58363431.0
2015-09-15,43341155.0
2015-09-16,37173489.0
2015-09-17,64112641.0
2015-09-18,74285291.0
2015-09-21,50221965.0
2015-09-22,50346159.0
2015-09-23,35756716.0
2015-09-24,50219475.0
2015-09-25,56151926.0
2015-09-28,50782189.0
2015-09-29,73365384.0
2015-09-30,65041596.0
2015-10-01,63929100.0
2015-10-02,58019758.0
2015-10-05,52064743.0
2015-10-06,48856977.0
2015-10-07,46765550.0
2015-10-08,61979577.0
2015-10-09,52766140.0
2015-10-12,30467204.0
2015-10-13,33049256.0
2015-10-14,44462449.0
2015-10-15,37673452.0
2015-10-16,39232609.0
2015-10-19,29759153.0
2015-10-20,48967763.0
2015-10-21,42326974.0
2015-10-22,41654089.0
2015-10-23,59366914.0
2015-10-26,66333781.0
2015-10-27,69884400.0
2015-10-28,85551352.0
2015-10-29,51227334.0
2015-10-30,49365254.0
2015-11-02,32203267.0
2015-11-03,45518976.0
2015-11-04,44886050.0
2015-11-05,39552680.0
2015-11-06,33042283.0
2015-11-09,33871405.0
2015-11-10,59127931.0
2015-11-11,45217971.0
2015-11-12,32525579.0
2015-11-13,45812403.0
2015-11-16,38106701.0
2015-11-17,27583101.0
2015-11-18,46674697.0
2015-11-19,43295820.0
2015-11-20,34287096.0
2015-11-23,32482528.0
2015-11-24,42803172.0
2015-11-25,21388308.0
2015-11-27,13046445.0
2015-11-30,39180322.0
2015-12-01,34852374.0
2015-12-02,33386563.0
2015-12-03,41569509.0
2015-12-04,57776977.0
2015-12-07,32084249.0
2015-12-08,34309450.0
2015-12-09,46361357.0
2015-12-10,29212727.0
2015-12-11,46886161.0
2015-12-14,65003609.0
2015-12-15,53323105.0
2015-12-16,56238467.0
2015-12-17,44772827.0
2015-12-18,96453327.0
2015-12-21,47590610.0
2015-12-22,32789367.0
2015-12-23,32657354.0
2015-12-24,13596680.0
2015-12-28,26704210.0
2015-12-29,30931243.0
2015-12-30,25213777.0
2015-12-31,40912316.0
2016-01-04,67649387.0
2016-01-05,55790992.0
2016-01-06,68457388.0
2016-01-07,81094428.0
2016-01-08,70798016.0
2016-01-11,49739377.0
2016-01-12,49154227.0
2016-01-13,62439631.0
2016-01-14,63170127.0
2016-01-15,79833891.0
2016-01-19,53087747.0
2016-01-20,72334416.0
2016-01-21,52161463.0
2016-01-22,65800467.0
2016-01-25,51794525.0
2016-01-26,75077002.0
2016-01-27,133369674.0
2016-01-28,55678825.0
2016-01-29,64416504.0
2016-02-01,40943541.0
2016-02-02,37357215.0
2016-02-03,45964294.0
2016-02-04,46471652.0
2016-02-05,46418064.0
2016-02-08,54021375.0
2016-02-09,44331195.0
2016-02-10,42343601.0
2016-02-11,50074711.0
2016-02-12,40351381.0
2016-02-16,49057916.0
2016-02-17,44863243.0
2016-02-18,39020983.0
2016-02-19,35374173.0
2016-02-22,34280758.0
2016-02-23,31942633.0
2016-02-24,36255745.0
2016-02-25,27582659.0
2016-02-26,28991131.0
2016-02-29,35216277.0
2016-03-01,50407147.0
2016-03-02,33169560.0
2016-03-03,36955742.0
2016-03-04,46055100.0
2016-03-07,35915810.0
2016-03-08,31182194.0
2016-03-09,27201683.0
2016-03-10,33513577.0
2016-03-11,27408237.0
2016-03-14,25076062.0
2016-03-15,40067734.0
2016-03-16,38303493.0
2016-03-17,34420705.0
2016-03-18,44205171.0
2016-03-21,35502678.0
2016-03-22,32444375.0
2016-03-23,25703495.0
2016-03-24,26132955.0
2016-03-28,19411372.0
2016-03-29,31190083.0
2016-03-30,45601149.0
2016-03-31,25888449.0
2016-04-01,25873950.0
2016-04-04,37356204.0
2016-04-05,26578652.0
2016-04-06,26404077.0
2016-04-07,31801870.0
2016-04-08,23581740.0
2016-04-11,29407518.0
2016-04-12,27232325.0
2016-04-13,33257316.0
2016-04-14,25473923.0
2016-04-15,46938969.0
2016-04-18,60821461.0
2016-04-19,32384879.0
2016-04-20,30611030.0
2016-04-21,31552525.0
2016-04-22,33683121.0
2016-04-25,28031588.0
2016-04-26,56016165.0
2016-04-27,114602142.0
2016-04-28,82242690.0
2016-04-29,68531478.0
2016-05-02,48160104.0
2016-05-03,56831277.0
2016-05-04,41025475.0
2016-05-05,35890500.0
2016-05-06,43699886.0
2016-05-09,32936436.0
2016-05-10,33686836.0
2016-05-11,28719109.0
2016-05-12,76314690.0
2016-05-13,44392765.0
2016-05-16,61259756.0
2016-05-17,46916939.0
2016-05-18,42062391.0
2016-05-19,30442100.0
2016-05-20,32025968.0
2016-05-23,38018643.0
2016-05-24,35140174.0
2016-05-25,38642108.0
2016-05-26,56331159.0
2016-05-27,36341240.0
2016-05-31,42307212.0
2016-06-01,29173285.0
2016-06-02,40191600.0
2016-06-03,28504888.0
2016-06-06,23292504.0
2016-06-07,22409450.0
2016-06-08,20848131.0
2016-06-09,26601354.0
2016-06-10,31712936.0
2016-06-13,38020494.0
2016-06-14,31931944.0
2016-06-15,29445227.0
2016-06-16,31326815.0
2016-06-17,61008219.0
2016-06-20,34411901.0
2016-06-21,35546358.0
2016-06-22,29219122.0
2016-06-23,32240187.0
2016-06-24,75311356.0
2016-06-27,46622188.0
2016-06-28,40444914.0
2016-06-29,36531006.0
2016-06-30,35836356.0
2016-07-01,26026540.0
2016-07-05,27705210.0
2016-07-06,30949090.0
2016-07-07,25139558.0
2016-07-08,28912103.0
2016-07-11,23794945.0
2016-07-12,24167463.0
2016-07-13,25892171.0
2016-07-14,38918997.0
2016-07-15,30136990.0
2016-07-18,36493867.0
2016-07-19,23779924.0
2016-07-20,26275968.0
2016-07-21,32702028.0
2016-07-22,28313669.0
2016-07-25,40382921.0
2016-07-26,56239822.0
2016-07-27,92344820.0
2016-07-28,39869839.0
2016-07-29,27733688.0
2016-08-01,38167871.0
2016-08-02,33816556.0
2016-08-03,30202641.0
2016-08-04,27408650.0
2016-08-05,40553402.0
2016-08-08,28037220.0
2016-08-09,26315204.0
2016-08-10,24008505.0
2016-08-11,27484506.0
2016-08-12,18660434.0
2016-08-15,25868209.0
2016-08-16,33794448.0
2016-08-17,25355976.0
2016-08-18,21984703.0
2016-08-19,25368072.0
2016-08-22,25820230.0
2016-08-23,21257669.0
2016-08-24,23675081.0
2016-08-25,25086248.0
2016-08-26,27766291.0
2016-08-29,24970300.0
2016-08-30,24863945.0
2016-08-31,29662406.0
2016-09-01,26701523.0
2016-09-02,26802450.0
2016-09-06,26880391.0
2016-09-07,42364328.0
2016-09-08,53002026.0
2016-09-09,46556984.0
2016-09-12,45292770.0
2016-09-13,62176190.0
2016-09-14,112340318.0
2016-09-15,90613177.0
2016-09-16,79886911.0
2016-09-19,47023046.0
2016-09-20,34514269.0
2016-09-21,36003185.0
2016-09-22,31073984.0
2016-09-23,52481151.0
2016-09-26,29869442.0
2016-09-27,24607412.0
2016-09-28,29641085.0
2016-09-29,35886990.0
2016-09-30,36379106.0
2016-10-03,21701760.0
2016-10-04,29736835.0
2016-10-05,21453089.0
2016-10-06,28779313.0
2016-10-07,24358443.0
2016-10-10,36235956.0
2016-10-11,64041043.0
2016-10-12,37586787.0
2016-10-13,35192406.0
2016-10-14,35652191.0
2016-10-17,23624896.0
2016-10-18,24553478.0
2016-10-19,20034594.0
2016-10-20,24125801.0
2016-10-21,23192665.0
2016-10-24,23538673.0
2016-10-25,48128970.0
2016-10-26,66134219.0
2016-10-27,34562045.0
2016-10-28,37861662.0
2016-10-31,26419398.0
2016-11-01,43825812.0
2016-11-02,28331709.0
2016-11-03,26932602.0
2016-11-04,30836997.0
2016-11-07,32560000.0
2016-11-08,24254179.0
2016-11-09,59176361.0
2016-11-10,57134541.0
2016-11-11,34143898.0
2016-11-14,51175504.0
2016-11-15,32264510.0
2016-11-16,58840522.0
2016-11-17,27632003.0
2016-11-18,28428917.0
2016-11-21,29264571.0
2016-11-22,25965534.0
2016-11-23,27426394.0
2016-11-25,11475922.0
2016-11-28,27193983.0
2016-11-29,28528750.0
2016-11-30,36162258.0
2016-12-01,37086862.0
2016-12-02,26527997.0
