,volume
2015-09-14,3130241.0
2015-09-15,2865933.0
2015-09-16,2252790.0
2015-09-17,4169484.0
2015-09-18,6160075.0
2015-09-21,3283313.0
2015-09-22,3841748.0
2015-09-23,2237571.0
2015-09-24,3500964.0
2015-09-25,4030998.0
2015-09-28,5370668.0
2015-09-29,4457532.0
2015-09-30,3902536.0
2015-10-01,3768483.0
2015-10-02,4597795.0
2015-10-05,3391359.0
2015-10-06,4547519.0
2015-10-07,3812087.0
2015-10-08,4676440.0
2015-10-09,3537364.0
2015-10-12,2776103.0
2015-10-13,2938044.0
2015-10-14,3582060.0
2015-10-15,4937034.0
2015-10-16,4315792.0
2015-10-19,4375420.0
2015-10-20,4346209.0
2015-10-21,3361655.0
2015-10-22,7779372.0
2015-10-23,10692667.0
2015-10-26,4269715.0
2015-10-27,3787136.0
2015-10-28,3926200.0
2015-10-29,3896026.0
2015-10-30,3874363.0
2015-11-02,2816479.0
2015-11-03,3246910.0
2015-11-04,4840501.0
2015-11-05,4723825.0
2015-11-06,4092165.0
2015-11-09,4048823.0
2015-11-10,3489483.0
2015-11-11,5387309.0
2015-11-12,4284678.0
2015-11-13,6261076.0
2015-11-16,7435934.0
2015-11-17,4316843.0
2015-11-18,4469769.0
2015-11-19,4705237.0
2015-11-20,3896135.0
2015-11-23,4385057.0
2015-11-24,4543417.0
2015-11-25,2697889.0
2015-11-27,1966801.0
2015-11-30,5693172.0
2015-12-01,4751152.0
2015-12-02,4273526.0
2015-12-03,5064736.0
2015-12-04,4534796.0
2015-12-07,3732814.0
2015-12-08,3651908.0
2015-12-09,5158172.0
2015-12-10,3455472.0
2015-12-11,5474420.0
2015-12-14,4361273.0
2015-12-15,4753415.0
2015-12-16,3964470.0
2015-12-17,3681645.0
2015-12-18,6841304.0
2015-12-21,3250900.0
2015-12-22,2667795.0
2015-12-23,2722922.0
2015-12-24,1092970.0
2015-12-28,3783555.0
2015-12-29,5734996.0
2015-12-30,3519003.0
2015-12-31,3749560.0
2016-01-04,9314519.0
2016-01-05,5822603.0
2016-01-06,5329197.0
2016-01-07,7074915.0
2016-01-08,5512915.0
2016-01-11,4891551.0
2016-01-12,4724100.0
2016-01-13,7655239.0
2016-01-14,7237978.0
2016-01-15,7784523.0
2016-01-19,4807165.0
2016-01-20,7966406.0
2016-01-21,4952217.0
2016-01-22,5120144.0
2016-01-25,4396079.0
2016-01-26,3765655.0
2016-01-27,5152853.0
2016-01-28,14015171.0
2016-01-29,14677550.0
2016-02-01,6355123.0
2016-02-02,6312045.0
2016-02-03,10048709.0
2016-02-04,6199070.0
2016-02-05,9708929.0
2016-02-08,9825509.0
2016-02-09,7077915.0
2016-02-10,6786181.0
2016-02-11,7397393.0
2016-02-12,5384787.0
2016-02-16,5118500.0
2016-02-17,4824002.0
2016-02-18,4735008.0
2016-02-19,4974717.0
2016-02-22,5566553.0
2016-02-23,4050790.0
2016-02-24,6231668.0
2016-02-25,4525463.0
2016-02-26,4877039.0
2016-02-29,4145396.0
2016-03-01,5038452.0
2016-03-02,4582170.0
2016-03-03,2741292.0
2016-03-04,3416545.0
2016-03-07,4932527.0
2016-03-08,4679663.0
2016-03-09,4377283.0
2016-03-10,3919892.0
2016-03-11,3771310.0
2016-03-14,3454152.0
2016-03-15,3876821.0
2016-03-16,3537669.0
2016-03-17,5928105.0
2016-03-18,7296885.0
2016-03-21,5155732.0
2016-03-22,4000564.0
2016-03-23,3983720.0
2016-03-24,5185539.0
2016-03-28,3121522.0
2016-03-29,4392567.0
2016-03-30,3890461.0
2016-03-31,2681811.0
2016-04-01,2917386.0
2016-04-04,2470825.0
2016-04-05,2308884.0
2016-04-06,2849909.0
2016-04-07,3189037.0
2016-04-08,2591936.0
2016-04-11,2704267.0
2016-04-12,2641062.0
2016-04-13,4228349.0
2016-04-14,3512136.0
2016-04-15,2887681.0
2016-04-18,4360883.0
2016-04-19,4055870.0
2016-04-20,2609425.0
2016-04-21,2596298.0
2016-04-22,5083904.0
2016-04-25,2682924.0
2016-04-26,2521433.0
2016-04-27,4068767.0
2016-04-28,7872605.0
2016-04-29,10310739.0
2016-05-02,6578517.0
2016-05-03,4923351.0
2016-05-04,4635462.0
2016-05-05,4884114.0
2016-05-06,4365345.0
2016-05-09,3982161.0
2016-05-10,6105570.0
2016-05-11,7338196.0
2016-05-12,5048150.0
2016-05-13,4763419.0
2016-05-16,5432920.0
2016-05-17,5121357.0
2016-05-18,4283189.0
2016-05-19,3025566.0
2016-05-20,2916165.0
2016-05-23,2595082.0
2016-05-24,3033782.0
2016-05-25,3276631.0
2016-05-26,2446681.0
2016-05-27,2249164.0
2016-05-31,3618323.0
2016-06-01,3263107.0
2016-06-02,3026583.0
2016-06-03,3367306.0
2016-06-06,2704806.0
2016-06-07,2732463.0
2016-06-08,2223366.0
2016-06-09,2170318.0
2016-06-10,3425718.0
2016-06-13,3352201.0
2016-06-14,2506922.0
2016-06-15,2709447.0
2016-06-16,3097961.0
2016-06-17,5897788.0
2016-06-20,3677162.0
2016-06-21,2137534.0
2016-06-22,2260454.0
2016-06-23,2824974.0
2016-06-24,7632511.0
2016-06-27,5584037.0
2016-06-28,4036957.0
2016-06-29,3070052.0
2016-06-30,2855142.0
2016-07-01,2920423.0
2016-07-05,2431431.0
2016-07-06,3938249.0
2016-07-07,2945783.0
2016-07-08,3429217.0
2016-07-11,3195272.0
2016-07-12,5623657.0
2016-07-13,4142265.0
2016-07-14,2390472.0
2016-07-15,3121385.0
2016-07-18,2954914.0
2016-07-19,2216820.0
2016-07-20,2214023.0
2016-07-21,2317072.0
2016-07-22,2277711.0
2016-07-25,2679290.0
2016-07-26,2529692.0
2016-07-27,2913134.0
2016-07-28,7617580.0
2016-07-29,6777050.0
2016-08-01,3578205.0
2016-08-02,3603280.0
2016-08-03,3581525.0
2016-08-04,3178208.0
2016-08-05,2704391.0
2016-08-08,1986272.0
2016-08-09,1876091.0
2016-08-10,1604280.0
2016-08-11,2019740.0
2016-08-12,1563318.0
2016-08-15,2118521.0
2016-08-16,1604561.0
2016-08-17,1891116.0
2016-08-18,1458834.0
2016-08-19,2343237.0
2016-08-22,1679251.0
2016-08-23,1524131.0
2016-08-24,1744107.0
2016-08-25,1622992.0
2016-08-26,2776830.0
2016-08-29,2198560.0
2016-08-30,1709158.0
2016-08-31,1633789.0
2016-09-01,1792271.0
2016-09-02,2181792.0
2016-09-06,3719788.0
2016-09-07,2424622.0
2016-09-08,2030511.0
2016-09-09,4257344.0
2016-09-12,3124704.0
2016-09-13,3117224.0
2016-09-14,2531822.0
2016-09-15,3043534.0
2016-09-16,5499182.0
2016-09-19,2297221.0
2016-09-20,1937164.0
2016-09-21,2718644.0
2016-09-22,4078910.0
2016-09-23,2353511.0
2016-09-26,2651397.0
2016-09-27,3819600.0
2016-09-28,4422078.0
2016-09-29,4922248.0
2016-09-30,4430566.0
2016-10-03,2769448.0
2016-10-04,2950314.0
2016-10-05,3469055.0
2016-10-06,2684013.0
2016-10-07,2426228.0
2016-10-10,1827143.0
2016-10-11,3588180.0
2016-10-12,2380416.0
2016-10-13,3091387.0
2016-10-14,2999814.0
2016-10-17,3361492.0
2016-10-18,2512504.0
2016-10-19,2090706.0
2016-10-20,3151954.0
2016-10-21,2793015.0
2016-10-24,4060899.0
2016-10-25,3248358.0
2016-10-26,3998102.0
2016-10-27,7406385.0
2016-10-28,10841073.0
2016-10-31,5413326.0
2016-11-01,5305428.0
2016-11-02,5026504.0
2016-11-03,3872496.0
2016-11-04,5122103.0
2016-11-07,5984354.0
2016-11-08,3412629.0
2016-11-09,8562892.0
2016-11-10,12746994.0
2016-11-11,6622784.0
2016-11-14,7321344.0
2016-11-15,6755785.0
2016-11-16,3648791.0
2016-11-17,3690112.0
2016-11-18,4373408.0
2016-11-21,4614574.0
2016-11-22,5311320.0
2016-11-23,3540263.0
2016-11-25,1837068.0
2016-11-28,4438828.0
2016-11-29,3272344.0
2016-11-30,4625946.0
2016-12-01,4665993.0
2016-12-02,3561307.0
2016-12-05,4314723.0
2016-12-06,3794746.0
2016-12-07,3684906.0
2016-12-08,3189608.0
2016-12-09,2470923.0
2016-12-12,2963945.0
2016-12-13,5285288.0
2016-12-14,5454836.0
2016-12-15,3801927.0
2016-12-16,4848219.0
2016-12-19,3113240.0
2016-12-20,2703629.0
2016-12-21,2044629.0
2016-12-22,2543551.0
2016-12-23,1981616.0
2016-12-27,2638725.0
2016-12-28,3301025.0
2016-12-29,3158299.0
2016-12-30,4139449.0
2017-01-03,3521066.0
2017-01-04,2510526.0
2017-01-05,5830068.0
2017-01-06,5986234.0
2017-01-09,3446109.0
2017-01-10,2558369.0
2017-01-11,2992791.0
2017-01-12,4873922.0
2017-01-13,3791945.0
2017-01-17,3670529.0
2017-01-18,2354201.0
2017-01-19,2540784.0
2017-01-20,3376196.0
2017-01-23,2797474.0
2017-01-24,2971740.0
2017-01-25,4023078.0
2017-01-26,3586323.0
2017-01-27,2998700.0
2017-01-30,3747336.0
2017-01-31,3137196.0
2017-02-01,3850181.0
2017-02-02,7350492.0
2017-02-03,10868773.0
2017-02-06,3897301.0
2017-02-07,3466091.0
2017-02-08,2857985.0
2017-02-09,2484948.0
2017-02-10,2429609.0
2017-02-13,4172618.0
2017-02-14,2792442.0
2017-02-15,2968853.0
2017-02-16,2714667.0
2017-02-17,3112275.0
2017-02-21,3507742.0
2017-02-22,2616971.0
2017-02-23,3461984.0
2017-02-24,3687963.0
2017-02-27,2713627.0
2017-02-28,2793709.0
2017-03-01,2760083.0
2017-03-02,2132098.0
2017-03-03,1951575.0
2017-03-06,2610370.0
2017-03-07,2247554.0
2017-03-08,2288317.0
2017-03-09,2048187.0
2017-03-10,2436434.0
2017-03-13,1909672.0
2017-03-14,2130586.0
2017-03-15,2562176.0
2017-03-16,1842296.0
2017-03-17,3384403.0
2017-03-20,2282727.0
2017-03-21,4382852.0
2017-03-22,2658669.0
2017-03-23,1952964.0
2017-03-24,2138269.0
2017-03-27,2755775.0
2017-03-28,3041633.0
2017-03-29,4485770.0
2017-03-30,2762730.0
2017-03-31,3957612.0
2017-04-03,3422328.0
2017-04-04,4984656.0
2017-04-05,7508370.0
2017-04-06,6344065.0
2017-04-07,3707367.0
2017-04-10,3184301.0
2017-04-11,3012743.0
2017-04-12,2456140.0
2017-04-13,3174583.0
2017-04-17,2854673.0
2017-04-18,2999238.0
2017-04-19,2870242.0
2017-04-20,2814441.0
2017-04-21,2420494.0
2017-04-24,3118123.0
2017-04-25,3367734.0
2017-04-26,2562595.0
2017-04-27,4255693.0
2017-04-28,7278819.0
2017-05-01,5415793.0
2017-05-02,3800912.0
2017-05-03,3544234.0
2017-05-04,2380874.0
2017-05-05,2856585.0
2017-05-08,3370672.0
2017-05-09,3230630.0
2017-05-10,2083441.0
2017-05-11,2135393.0
2017-05-12,3605620.0
2017-05-15,4245856.0
2017-05-16,3050005.0
2017-05-17,5073254.0
2017-05-18,3876816.0
2017-05-19,3846299.0
2017-05-22,2613805.0
2017-05-23,2395510.0
2017-05-24,2407995.0
2017-05-25,4737390.0
2017-05-26,3394090.0
2017-05-30,3245760.0
2017-05-31,3912535.0
2017-06-01,2384298.0
2017-06-02,3714954.0
2017-06-05,2676857.0
2017-06-06,3298378.0
2017-06-07,2779551.0
2017-06-08,2724408.0
2017-06-09,7647692.0
2017-06-12,9393802.0
2017-06-13,4533933.0
2017-06-14,3943670.0
2017-06-15,5202147.0
2017-06-16,11314754.0
2017-06-19,4967600.0
2017-06-20,4040990.0
2017-06-21,2892563.0
2017-06-22,2221035.0
2017-06-23,2645973.0
2017-06-26,3347195.0
2017-06-27,3735360.0
2017-06-28,3708638.0
2017-06-29,4246765.0
2017-06-30,3309138.0
2017-07-03,2908267.0
2017-07-05,3587645.0
2017-07-06,3229378.0
2017-07-07,2582645.0
2017-07-10,3462884.0
2017-07-11,2947479.0
2017-07-12,3491988.0
2017-07-13,2864533.0
2017-07-14,2066362.0
2017-07-17,3636801.0
2017-07-18,3957892.0
2017-07-19,2936902.0
2017-07-20,2964341.0
2017-07-21,2677517.0
2017-07-24,3212499.0
2017-07-25,2432328.0
2017-07-26,2828980.0
2017-07-27,9905158.0
2017-07-28,7624498.0
2017-07-31,7246638.0
2017-08-01,4421395.0
2017-08-02,4017780.0
2017-08-03,3203134.0
2017-08-04,2704026.0
2017-08-07,2676607.0
2017-08-08,2847527.0
2017-08-09,3434077.0
2017-08-10,5560388.0
2017-08-11,3431423.0
2017-08-14,3008007.0
2017-08-15,2513139.0
2017-08-16,3096051.0
2017-08-17,3396045.0
2017-08-18,3248677.0
2017-08-21,3008450.0
2017-08-22,2718261.0
2017-08-23,2590245.0
2017-08-24,5086748.0
2017-08-25,3292776.0
2017-08-28,2529087.0
2017-08-29,2853972.0
2017-08-30,2860718.0
2017-08-31,3280945.0
2017-09-01,2423132.0
2017-09-05,2875228.0
2017-09-06,2106605.0
2017-09-07,2536000.0
2017-09-08,2578269.0
2017-09-11,2134582.0
2017-09-12,2444699.0
2017-09-13,3314978.0
