,volume
2015-09-14,1497627.0
2015-09-15,1777320.0
2015-09-16,1312598.0
2015-09-17,2387605.0
2015-09-18,3627210.0
2015-09-21,1954667.0
2015-09-22,2718081.0
2015-09-23,1457995.0
2015-09-24,1934639.0
2015-09-25,2423992.0
2015-09-28,2361393.0
2015-09-29,2106466.0
2015-09-30,2549938.0
2015-10-01,2125315.0
2015-10-02,2439435.0
2015-10-05,1898012.0
2015-10-06,2157409.0
2015-10-07,2217672.0
2015-10-08,1965397.0
2015-10-09,1606178.0
2015-10-12,1334225.0
2015-10-13,2122338.0
2015-10-14,1564582.0
2015-10-15,2357829.0
2015-10-16,1815759.0
2015-10-19,1508585.0
2015-10-20,2621719.0
2015-10-21,1608436.0
2015-10-22,4431595.0
2015-10-23,6336319.0
2015-10-26,2438847.0
2015-10-27,1938916.0
2015-10-28,1980154.0
2015-10-29,1825957.0
2015-10-30,1999161.0
2015-11-02,1995708.0
2015-11-03,1815300.0
2015-11-04,2091999.0
2015-11-05,2274314.0
2015-11-06,1677199.0
2015-11-09,1776861.0
2015-11-10,1489929.0
2015-11-11,2095922.0
2015-11-12,1772555.0
2015-11-13,2409363.0
2015-11-16,2535198.0
2015-11-17,1939934.0
2015-11-18,1813336.0
2015-11-19,1403913.0
2015-11-20,2773944.0
2015-11-23,1732400.0
2015-11-24,2394010.0
2015-11-25,1180643.0
2015-11-27,722320.0
2015-11-30,1679349.0
2015-12-01,2019864.0
2015-12-02,2343841.0
2015-12-03,2097494.0
2015-12-04,2489998.0
2015-12-07,1831287.0
2015-12-08,1554121.0
2015-12-09,2327471.0
2015-12-10,1622940.0
2015-12-11,2159164.0
2015-12-14,2708520.0
2015-12-15,2469319.0
2015-12-16,2656010.0
2015-12-17,1825538.0
2015-12-18,3389702.0
2015-12-21,1742368.0
2015-12-22,1816935.0
2015-12-23,1529742.0
2015-12-24,521141.0
2015-12-28,1557755.0
2015-12-29,1921480.0
2015-12-30,1428280.0
2015-12-31,1637561.0
2016-01-04,3369068.0
2016-01-05,2260795.0
2016-01-06,2410301.0
2016-01-07,3156563.0
2016-01-08,2375348.0
2016-01-11,2544806.0
2016-01-12,2340753.0
2016-01-13,2586395.0
2016-01-14,2777868.0
2016-01-15,3833751.0
2016-01-19,2436220.0
2016-01-20,4122010.0
2016-01-21,2596916.0
2016-01-22,2357315.0
2016-01-25,2267031.0
2016-01-26,1547049.0
2016-01-27,2121434.0
2016-01-28,3105222.0
2016-01-29,3790395.0
2016-02-01,5576089.0
2016-02-02,6792331.0
2016-02-03,6555731.0
2016-02-04,5246123.0
2016-02-05,5477821.0
2016-02-08,4470514.0
2016-02-09,4214950.0
2016-02-10,3015733.0
2016-02-11,3250206.0
2016-02-12,2326889.0
2016-02-16,2172213.0
2016-02-17,2457715.0
