,volume
2015-09-14,20127871.0
2015-09-15,18859351.0
2015-09-16,16321193.0
2015-09-17,27841803.0
2015-09-18,62299984.0
2015-09-21,28789973.0
2015-09-22,36888893.0
2015-09-23,21701427.0
2015-09-24,29105964.0
2015-09-25,28961622.0
2015-09-28,40914897.0
2015-09-29,42281838.0
2015-09-30,35159225.0
2015-10-01,29283652.0
2015-10-02,37881652.0
2015-10-05,27292517.0
2015-10-06,22488275.0
2015-10-07,24129277.0
2015-10-08,27290523.0
2015-10-09,20012911.0
2015-10-12,18449562.0
2015-10-13,19480347.0
2015-10-14,19253351.0
2015-10-15,27557516.0
2015-10-16,25412856.0
2015-10-19,23729924.0
2015-10-20,30881777.0
2015-10-21,22003730.0
2015-10-22,26392075.0
2015-10-23,42809661.0
2015-10-26,25961212.0
2015-10-27,23795472.0
2015-10-28,24081515.0
2015-10-29,20316691.0
2015-10-30,33487104.0
2015-11-02,24003944.0
2015-11-03,21242341.0
2015-11-04,43469308.0
2015-11-05,63232861.0
2015-11-06,35084342.0
2015-11-09,26383540.0
2015-11-10,25031681.0
2015-11-11,25057099.0
2015-11-12,20924674.0
2015-11-13,30278403.0
2015-11-16,49309167.0
2015-11-17,26774146.0
2015-11-18,23836526.0
2015-11-19,25520599.0
2015-11-20,22129648.0
2015-11-23,19897220.0
2015-11-24,23577293.0
2015-11-25,15150785.0
2015-11-27,5913066.0
2015-11-30,20383179.0
2015-12-01,22781868.0
2015-12-02,24429063.0
2015-12-03,23236485.0
2015-12-04,21224721.0
2015-12-07,15474890.0
2015-12-08,20401791.0
2015-12-09,23517268.0
2015-12-10,17454312.0
2015-12-11,26427727.0
2015-12-14,24813496.0
2015-12-15,21764331.0
2015-12-16,22680547.0
2015-12-17,21675686.0
2015-12-18,35994199.0
2015-12-21,16138786.0
2015-12-22,14597122.0
2015-12-23,19599673.0
2015-12-24,6512134.0
2015-12-28,13069733.0
2015-12-29,17179901.0
2015-12-30,13115007.0
2015-12-31,18391064.0
2016-01-04,37912403.0
2016-01-05,23258238.0
2016-01-06,25096183.0
2016-01-07,45172906.0
2016-01-08,35402298.0
2016-01-11,29932385.0
2016-01-12,28395390.0
2016-01-13,33410553.0
2016-01-14,48658623.0
2016-01-15,46132781.0
2016-01-19,30998256.0
2016-01-20,59051429.0
2016-01-21,30518939.0
2016-01-22,30495387.0
2016-01-25,32482015.0
2016-01-26,26877080.0
2016-01-27,58699359.0
2016-01-28,107475327.0
2016-01-29,62739548.0
2016-02-01,46132726.0
2016-02-02,59778571.0
2016-02-03,56919324.0
2016-02-04,38890199.0
2016-02-05,76894741.0
2016-02-08,71229746.0
2016-02-09,62709018.0
