,volume
2015-09-14,23656048.0
2015-09-15,28882206.0
2015-09-16,23372162.0
2015-09-17,32768161.0
2015-09-18,63143684.0
2015-09-21,26177224.0
2015-09-22,28085903.0
2015-09-23,17145238.0
2015-09-24,27905607.0
2015-09-25,29384601.0
2015-09-28,27099680.0
2015-09-29,32763557.0
2015-09-30,33172693.0
2015-10-01,28657859.0
2015-10-02,41839035.0
2015-10-05,34369286.0
2015-10-06,27510808.0
2015-10-07,27711492.0
2015-10-08,33772709.0
2015-10-09,28600632.0
2015-10-12,19769066.0
2015-10-13,19987816.0
2015-10-14,24697766.0
2015-10-15,27189370.0
2015-10-16,26450334.0
2015-10-19,29387581.0
2015-10-20,30802235.0
2015-10-21,25264710.0
2015-10-22,56637074.0
2015-10-23,135227059.0
2015-10-26,64633324.0
2015-10-27,50999907.0
2015-10-28,47000753.0
2015-10-29,30202078.0
2015-10-30,46619761.0
2015-11-02,30284982.0
2015-11-03,36596931.0
2015-11-04,37087849.0
2015-11-05,31468485.0
2015-11-06,32851204.0
2015-11-09,32513067.0
2015-11-10,55283697.0
2015-11-11,36516260.0
2015-11-12,35361095.0
2015-11-13,36848175.0
2015-11-16,32165198.0
2015-11-17,31546754.0
2015-11-18,29710030.0
2015-11-19,28149228.0
2015-11-20,37147608.0
2015-11-23,28235918.0
2015-11-24,24600043.0
2015-11-25,21005147.0
2015-11-27,9009132.0
2015-11-30,56241417.0
2015-12-01,39952779.0
2015-12-02,47274879.0
2015-12-03,38627835.0
2015-12-04,43963662.0
2015-12-07,30709765.0
2015-12-08,32878026.0
2015-12-09,36373209.0
2015-12-10,31775826.0
2015-12-11,39549497.0
2015-12-14,47006491.0
2015-12-15,39842998.0
2015-12-16,37503300.0
2015-12-17,41280907.0
2015-12-18,84684164.0
2015-12-21,37246325.0
2015-12-22,28322241.0
2015-12-23,27279832.0
2015-12-24,9570002.0
2015-12-28,22458293.0
2015-12-29,27731403.0
2015-12-30,21704505.0
2015-12-31,27334061.0
2016-01-04,53777963.0
2016-01-05,34079674.0
2016-01-06,39518863.0
2016-01-07,56564852.0
2016-01-08,48753969.0
2016-01-11,36943756.0
2016-01-12,36095539.0
2016-01-13,66883571.0
2016-01-14,52381918.0
2016-01-15,71820697.0
2016-01-19,43564538.0
2016-01-20,63272993.0
2016-01-21,40191157.0
2016-01-22,37555789.0
2016-01-25,34707717.0
2016-01-26,28900820.0
2016-01-27,36775194.0
2016-01-28,62513789.0
2016-01-29,83611686.0
2016-02-01,44208542.0
2016-02-02,56313753.0
2016-02-03,57559814.0
2016-02-04,46987123.0
2016-02-05,62008994.0
2016-02-08,59290497.0
2016-02-09,46740474.0
2016-02-10,38236954.0
2016-02-11,48878571.0
2016-02-12,34243324.0
2016-02-16,37291208.0
2016-02-17,40788968.0
2016-02-18,27176035.0
2016-02-19,33559073.0
2016-02-22,25008291.0
2016-02-23,28895274.0
2016-02-24,33014457.0
2016-02-25,26939467.0
2016-02-26,35975925.0
2016-02-29,31654036.0
2016-03-01,33024535.0
2016-03-02,29289884.0
2016-03-03,24427813.0
2016-03-04,33034150.0
2016-03-07,38428816.0
2016-03-08,33075517.0
2016-03-09,28251588.0
2016-03-10,38387804.0
2016-03-11,32275677.0
2016-03-14,24083616.0
2016-03-15,21104763.0
2016-03-16,31691742.0
2016-03-17,28223947.0
2016-03-18,67625518.0
2016-03-21,23925716.0
2016-03-22,23124143.0
2016-03-23,20129015.0
2016-03-24,19949972.0
2016-03-28,17025050.0
2016-03-29,23924329.0
2016-03-30,23008260.0
2016-03-31,26360495.0
2016-04-01,24399193.0
2016-04-04,18928810.0
2016-04-05,19272255.0
2016-04-06,21188682.0
2016-04-07,19225092.0
2016-04-08,22167223.0
2016-04-11,21414227.0
2016-04-12,24944288.0
2016-04-13,20817961.0
2016-04-14,20877108.0
2016-04-15,28793753.0
2016-04-18,23785950.0
2016-04-19,29596827.0
2016-04-20,36195714.0
2016-04-21,38909096.0
2016-04-22,126834091.0
2016-04-25,33226948.0
2016-04-26,33532636.0
2016-04-27,43369256.0
2016-04-28,43134846.0
2016-04-29,48411684.0
2016-05-02,33114539.0
2016-05-03,26460244.0
2016-05-04,24257556.0
2016-05-05,25390718.0
2016-05-06,24787301.0
2016-05-09,17951598.0
2016-05-10,22890966.0
2016-05-11,24039140.0
2016-05-12,24102781.0
2016-05-13,22592342.0
2016-05-16,20032017.0
2016-05-17,27803514.0
2016-05-18,24907532.0
2016-05-19,23842358.0
2016-05-20,23905769.0
2016-05-23,26118720.0
2016-05-24,34757944.0
2016-05-25,24204566.0
2016-05-26,24335223.0
2016-05-27,17721438.0
2016-05-31,37653081.0
2016-06-01,25324828.0
2016-06-02,22840779.0
2016-06-03,23368291.0
2016-06-06,18243271.0
2016-06-07,20866770.0
2016-06-08,21149438.0
2016-06-09,20305664.0
2016-06-10,25833151.0
2016-06-13,83217844.0
2016-06-14,42577106.0
2016-06-15,33757639.0
2016-06-16,31188605.0
2016-06-17,45710516.0
2016-06-20,35607946.0
2016-06-21,34097825.0
2016-06-22,28816848.0
2016-06-23,29028833.0
2016-06-24,133502985.0
2016-06-27,50576699.0
2016-06-28,38140658.0
2016-06-29,31304021.0
2016-06-30,28527781.0
2016-07-01,21400392.0
2016-07-05,24806351.0
2016-07-06,28167461.0
2016-07-07,19585194.0
2016-07-08,28391026.0
2016-07-11,22269203.0
2016-07-12,27317555.0
2016-07-13,25356841.0
2016-07-14,24545520.0
2016-07-15,32024385.0
2016-07-18,31433864.0
2016-07-19,53336533.0
2016-07-20,89893301.0
2016-07-21,32776653.0
2016-07-22,32157167.0
2016-07-25,25610587.0
2016-07-26,28078995.0
2016-07-27,32327477.0
2016-07-28,37550411.0
2016-07-29,30558718.0
2016-08-01,26003419.0
2016-08-02,35121958.0
2016-08-03,22075616.0
2016-08-04,26587749.0
2016-08-05,29335221.0
2016-08-08,19473499.0
2016-08-09,16920721.0
2016-08-10,15756913.0
2016-08-11,18162301.0
2016-08-12,21655161.0
2016-08-15,19283902.0
2016-08-16,20523493.0
2016-08-17,18856423.0
2016-08-18,14214341.0
2016-08-19,17271044.0
2016-08-22,15221922.0
2016-08-23,18732373.0
2016-08-24,18151506.0
2016-08-25,18552579.0
2016-08-26,20971202.0
2016-08-29,16417207.0
2016-08-30,16930185.0
2016-08-31,20860269.0
2016-09-01,26075363.0
2016-09-02,18900489.0
2016-09-06,16278416.0
2016-09-07,17493359.0
2016-09-08,20146083.0
2016-09-09,35113934.0
2016-09-12,29302962.0
2016-09-13,30130213.0
2016-09-14,24274273.0
2016-09-15,27062614.0
2016-09-16,44606965.0
2016-09-19,20937104.0
2016-09-20,17383982.0
2016-09-21,33707272.0
2016-09-22,19822203.0
2016-09-23,19955336.0
2016-09-26,21688720.0
2016-09-27,28065071.0
2016-09-28,20536400.0
2016-09-29,25463536.0
2016-09-30,29910788.0
2016-10-03,19189515.0
2016-10-04,20085874.0
2016-10-05,16726411.0
2016-10-06,16212611.0
2016-10-07,20089020.0
2016-10-10,18196509.0
2016-10-11,26497418.0
2016-10-12,22177464.0
2016-10-13,25313748.0
2016-10-14,27402451.0
2016-10-17,23830014.0
2016-10-18,19149538.0
2016-10-19,22878397.0
2016-10-20,49455612.0
2016-10-21,80032206.0
2016-10-24,54066978.0
2016-10-25,35137164.0
2016-10-26,29911608.0
2016-10-27,28479856.0
2016-10-28,33574684.0
2016-10-31,26434697.0
2016-11-01,24532986.0
2016-11-02,22147005.0
2016-11-03,21600427.0
2016-11-04,28697016.0
2016-11-07,31664798.0
2016-11-08,22935355.0
2016-11-09,49632479.0
2016-11-10,57822394.0
2016-11-11,38767843.0
2016-11-14,41328422.0
2016-11-15,35904126.0
2016-11-16,27332475.0
2016-11-17,32132728.0
2016-11-18,27686311.0
2016-11-21,19652595.0
2016-11-22,23206700.0
2016-11-23,21848913.0
2016-11-25,8409616.0
2016-11-28,20732619.0
2016-11-29,22366721.0
2016-11-30,34655435.0
2016-12-01,34542121.0
2016-12-02,25515665.0
2016-12-05,23552658.0
2016-12-06,19907035.0
2016-12-07,30808969.0
2016-12-08,21220753.0
2016-12-09,27349356.0
2016-12-12,20198081.0
2016-12-13,35718868.0
2016-12-14,30352654.0
2016-12-15,27669868.0
2016-12-16,42453083.0
2016-12-19,34338219.0
2016-12-20,26028379.0
2016-12-21,17096304.0
2016-12-22,22176585.0
2016-12-23,12403819.0
2016-12-27,11763173.0
2016-12-28,14653348.0
2016-12-29,10250582.0
2016-12-30,25579908.0
2017-01-03,20694101.0
2017-01-04,21339969.0
2017-01-05,24875968.0
2017-01-06,19922919.0
2017-01-09,20382730.0
2017-01-10,18593004.0
2017-01-11,21517335.0
2017-01-12,20968223.0
2017-01-13,19422310.0
2017-01-17,20663983.0
2017-01-18,19670102.0
2017-01-19,18451655.0
2017-01-20,30213462.0
2017-01-23,23097581.0
2017-01-24,24672940.0
2017-01-25,24654933.0
2017-01-26,43554645.0
2017-01-27,44817972.0
2017-01-30,31651445.0
2017-01-31,25270549.0
2017-02-01,39671528.0
2017-02-02,45827013.0
2017-02-03,30301759.0
2017-02-06,19796360.0
2017-02-07,20277226.0
2017-02-08,18096358.0
2017-02-09,22644443.0
2017-02-10,18170729.0
2017-02-13,22920101.0
2017-02-14,23108426.0
2017-02-15,17005157.0
2017-02-16,20546345.0
2017-02-17,21248818.0
2017-02-21,20655869.0
2017-02-22,19292651.0
2017-02-23,20273128.0
2017-02-24,21796800.0
2017-02-27,15871507.0
2017-02-28,23239825.0
2017-03-01,26937459.0
2017-03-02,24539597.0
2017-03-03,18139405.0
2017-03-06,18750255.0
2017-03-07,18520987.0
2017-03-08,21510907.0
2017-03-09,19846832.0
2017-03-10,19538245.0
2017-03-13,20100035.0
2017-03-14,14280202.0
2017-03-15,24833810.0
2017-03-16,20674296.0
2017-03-17,49219686.0
2017-03-20,14598083.0
2017-03-21,26640480.0
2017-03-22,20680015.0
2017-03-23,19269203.0
2017-03-24,22617105.0
2017-03-27,18614662.0
2017-03-28,20080358.0
2017-03-29,13618424.0
2017-03-30,15122823.0
2017-03-31,21040331.0
2017-04-03,20400871.0
2017-04-04,12997449.0
2017-04-05,21448594.0
2017-04-06,18103453.0
2017-04-07,14089274.0
2017-04-10,17952742.0
2017-04-11,18791533.0
2017-04-12,17108513.0
2017-04-13,17896483.0
2017-04-17,16689265.0
2017-04-18,15155611.0
2017-04-19,26992771.0
2017-04-20,22299477.0
2017-04-21,32522645.0
2017-04-24,29721254.0
2017-04-25,29983174.0
2017-04-26,25544417.0
2017-04-27,32219234.0
2017-04-28,38940853.0
2017-05-01,31304672.0
2017-05-02,23000828.0
2017-05-03,28725646.0
2017-05-04,21421413.0
