,open,high,low,close,volume
2015-09-14,22.76,22.83,22.5701,22.69,4811636.0
2015-09-15,22.7,23.06,22.63,22.94,8199412.0
2015-09-16,22.9,23.23,22.725,23.1,4337684.0
2015-09-17,23.5,23.71,23.26,23.31,6717769.0
2015-09-18,22.99,23.49,22.85,23.29,8160255.0
2015-09-21,23.32,23.58,23.2,23.53,7046616.0
2015-09-22,23.02,23.18,22.765,22.89,5708923.0
2015-09-23,22.91,23.14,22.8201,23.0,4040849.0
2015-09-24,22.86,23.68,22.5,23.44,9561031.0
2015-09-25,23.73,24.07,23.38,23.61,9242268.0
2015-09-28,23.61,23.755,23.15,23.3,9698094.0
2015-09-29,23.55,23.75,23.22,23.71,9518373.0
2015-09-30,23.93,24.68,23.79,24.64,13712983.0
2015-10-01,24.65,24.72,23.47,24.17,12232427.0
2015-10-02,24.04,24.8006,23.79,24.8,9653639.0
2015-10-05,24.96,25.73,24.83,25.42,12050571.0
2015-10-06,25.15,25.86,25.05,25.75,11360526.0
2015-10-07,25.81,26.28,25.39,26.02,7753799.0
2015-10-08,25.91,26.2399,25.47,26.17,11501741.0
2015-10-09,26.03,26.28,25.58,26.07,10581210.0
2015-10-12,26.1,26.5,25.905,26.35,5689727.0
2015-10-13,26.14,26.555,26.05,26.4,7461071.0
2015-10-14,26.43,27.785,26.4,27.36,15304756.0
2015-10-15,27.41,27.99,27.13,27.43,13151151.0
2015-10-16,27.52,28.12,27.45,27.86,11209897.0
2015-10-19,27.95,28.075,27.49,27.81,7367780.0
2015-10-20,27.69,27.9,27.48,27.77,6620614.0
2015-10-21,27.94,28.11,27.36,27.41,9667049.0
2015-10-22,27.73,28.49,27.69,28.4,7672091.0
2015-10-23,28.65,28.78,28.22,28.59,9544357.0
2015-10-26,28.61,28.68,28.2,28.46,6185935.0
2015-10-27,28.32,28.6175,28.3,28.44,5206678.0
2015-10-28,28.62,28.67,28.2,28.67,5425852.0
2015-10-29,28.21,28.5,27.63,27.68,8179177.0
2015-10-30,27.98,28.57,27.77,28.37,7528965.0
2015-11-02,28.46,28.73,28.29,28.7,4752197.0
2015-11-03,28.53,28.69,28.18,28.5,9419230.0
2015-11-04,28.42,28.63,27.9,28.03,11056571.0
2015-11-05,28.17,28.245,27.63,27.71,11969974.0
2015-11-06,30.45,31.94,29.82,31.55,29306777.0
2015-11-09,31.24,31.5,30.97,31.41,12314225.0
2015-11-10,31.0,31.17,30.1501,30.81,13806497.0
2015-11-11,30.83,31.05,30.4,30.51,15503157.0
2015-11-12,30.44,30.72,30.27,30.4,7277017.0
2015-11-13,30.43,30.56,29.65,29.8,7323501.0
2015-11-16,30.19,30.42,29.95,30.4,8607008.0
2015-11-17,30.48,30.66,30.2735,30.4,6426163.0
2015-11-18,30.41,31.07,30.075,31.03,8755358.0
2015-11-19,31.14,31.43,30.8899,31.12,6351803.0
2015-11-20,31.35,31.57,31.16,31.39,5993587.0
2015-11-23,31.65,31.65,30.805,30.92,6063751.0
2015-11-24,30.92,31.44,30.78,31.17,4885692.0
2015-11-25,31.11,31.48,31.02,31.13,3457476.0
2015-11-27,31.19,31.49,31.03,31.39,2175202.0
2015-11-30,31.42,31.86,31.39,31.72,8181080.0
2015-12-01,32.0,32.78,31.97,32.75,10237433.0
2015-12-02,32.8,33.14,32.43,32.5,7356004.0
2015-12-03,32.76,33.1,32.27,32.43,6166405.0
2015-12-04,32.43,33.81,32.43,33.75,11468924.0
2015-12-07,33.74,33.74,33.01,33.11,8339679.0
2015-12-08,32.7,33.7,32.49,33.56,7862233.0
2015-12-09,33.55,33.75,32.37,32.71,9316871.0
2015-12-10,32.81,33.16,32.7,32.98,5914923.0
2015-12-11,32.65,32.88,32.42,32.49,5683038.0
2015-12-14,32.52,32.75,32.18,32.57,6908645.0
2015-12-15,32.94,33.2,32.76,32.97,7682354.0
2015-12-16,33.04,33.28,32.75,33.17,5908874.0
2015-12-17,33.22,33.56,32.65,32.67,6354044.0
2015-12-18,32.44,32.77,32.1,32.14,9897424.0
2015-12-21,32.49,32.93,32.2,32.895,7105373.0
2015-12-22,33.0,33.26,32.73,32.93,3250269.0
2015-12-23,32.98,33.185,32.92,33.055,3063139.0
2015-12-24,32.96,33.25,32.91,33.17,1311231.0
2015-12-28,32.82,33.14,32.36,33.14,3550703.0
2015-12-29,33.16,33.78,33.07,33.68,5091512.0
2015-12-30,33.65,33.94,33.38,33.39,4508570.0
2015-12-31,33.34,33.49,32.96,32.96,3713202.0
2016-01-04,32.29,32.58,32.04,32.37,8951907.0
2016-01-05,32.98,33.44,32.5,32.89,12256814.0
2016-01-06,32.35,32.5,31.16,31.53,11233604.0
2016-01-07,30.74,30.953,29.88,30.28,16132575.0
2016-01-08,30.67,30.7,29.565,29.63,9961782.0
2016-01-11,29.66,29.89,29.15,29.68,10235095.0
2016-01-12,30.21,30.62,29.97,30.18,11733893.0
2016-01-13,30.41,30.61,29.23,29.26,12041762.0
2016-01-14,28.66,29.0,27.82,28.67,15005864.0
2016-01-15,27.52,27.85,26.64,27.11,21036303.0
2016-01-19,27.67,28.45,27.215,27.33,11428537.0
2016-01-20,26.81,27.83,26.45,27.48,12029457.0
2016-01-21,27.78,28.23,27.21,27.8,12036422.0
2016-01-22,28.33,28.64,28.27,28.45,6450312.0
2016-01-25,28.44,28.765,28.355,28.42,6768203.0
2016-01-26,28.48,28.82,28.185,28.7,5699182.0
2016-01-27,28.66,28.745,27.815,28.36,5792528.0
2016-01-28,28.59,28.69,27.5,28.05,6919451.0
2016-01-29,28.29,29.345,28.18,29.29,7762622.0
2016-02-01,29.26,29.45,29.01,29.3,7247099.0
2016-02-02,29.0,29.15,27.86,28.06,8547710.0
2016-02-03,28.28,28.45,27.55,28.2,8169351.0
2016-02-04,28.24,28.85,27.93,28.21,8703450.0
2016-02-05,28.02,28.33,26.35,26.43,15010685.0
2016-02-08,26.03,26.16,24.85,25.22,15221320.0
2016-02-09,24.92,26.55,24.8,25.49,10634314.0
2016-02-10,25.65,26.39,25.29,25.43,8394980.0
2016-02-11,24.78,25.56,24.78,25.3,8503635.0
2016-02-12,25.7,25.78,24.75,25.73,8520367.0
2016-02-16,26.1,27.03,26.02,26.99,12133795.0
2016-02-17,27.33,27.92,27.22,27.66,19286666.0
2016-02-18,29.93,30.975,29.9,30.04,26716489.0
2016-02-19,29.88,30.71,29.65,30.44,13140732.0
2016-02-22,30.88,31.87,30.82,31.52,11241697.0
2016-02-23,31.27,31.9,31.12,31.6,9234450.0
2016-02-24,31.47,31.8679,30.6,31.82,8421336.0
2016-02-25,31.94,32.05,31.32,31.89,8740367.0
2016-02-26,32.04,32.1162,31.36,31.68,9049073.0
2016-02-29,31.61,32.02,31.34,31.36,8083618.0
2016-03-01,31.44,32.75,31.39,32.75,8717512.0
2016-03-02,32.57,33.06,32.51,32.94,5845933.0
2016-03-03,32.9,33.04,32.21,32.65,7550088.0
2016-03-04,32.9,32.93,32.3,32.55,4382634.0
2016-03-07,32.37,32.59,31.915,32.34,6005495.0
2016-03-08,32.01,32.2,31.645,31.75,6644011.0
2016-03-09,32.03,32.075,31.32,31.73,5569737.0
2016-03-10,31.92,32.1,31.04,31.68,7152137.0
