,volume
2015-09-14,4811636.0
2015-09-15,8199412.0
2015-09-16,4337684.0
2015-09-17,6717769.0
2015-09-18,8160255.0
2015-09-21,7046616.0
2015-09-22,5708923.0
2015-09-23,4040849.0
2015-09-24,9561031.0
2015-09-25,9242268.0
2015-09-28,9698094.0
2015-09-29,9518373.0
2015-09-30,13712983.0
2015-10-01,12232427.0
2015-10-02,9653639.0
2015-10-05,12050571.0
2015-10-06,11360526.0
2015-10-07,7753799.0
2015-10-08,11501741.0
2015-10-09,10581210.0
2015-10-12,5689727.0
2015-10-13,7461071.0
2015-10-14,15304756.0
2015-10-15,13151151.0
2015-10-16,11209897.0
2015-10-19,7367780.0
2015-10-20,6620614.0
2015-10-21,9667049.0
2015-10-22,7672091.0
2015-10-23,9544357.0
2015-10-26,6185935.0
2015-10-27,5206678.0
2015-10-28,5425852.0
2015-10-29,8179177.0
2015-10-30,7528965.0
2015-11-02,4752197.0
2015-11-03,9419230.0
2015-11-04,11056571.0
2015-11-05,11969974.0
2015-11-06,29306777.0
2015-11-09,12314225.0
2015-11-10,13806497.0
2015-11-11,15503157.0
2015-11-12,7277017.0
2015-11-13,7323501.0
2015-11-16,8607008.0
2015-11-17,6426163.0
2015-11-18,8755358.0
2015-11-19,6351803.0
2015-11-20,5993587.0
2015-11-23,6063751.0
2015-11-24,4885692.0
2015-11-25,3457476.0
2015-11-27,2175202.0
2015-11-30,8181080.0
2015-12-01,10237433.0
2015-12-02,7356004.0
2015-12-03,6166405.0
2015-12-04,11468924.0
2015-12-07,8339679.0
2015-12-08,7862233.0
2015-12-09,9316871.0
2015-12-10,5914923.0
2015-12-11,5683038.0
2015-12-14,6908645.0
2015-12-15,7682354.0
2015-12-16,5908874.0
2015-12-17,6354044.0
2015-12-18,9897424.0
2015-12-21,7105373.0
2015-12-22,3250269.0
2015-12-23,3063139.0
2015-12-24,1311231.0
2015-12-28,3550703.0
2015-12-29,5091512.0
2015-12-30,4508570.0
2015-12-31,3713202.0
2016-01-04,8951907.0
2016-01-05,12256814.0
2016-01-06,11233604.0
2016-01-07,16132575.0
2016-01-08,9961782.0
2016-01-11,10235095.0
2016-01-12,11733893.0
2016-01-13,12041762.0
2016-01-14,15005864.0
2016-01-15,21036303.0
2016-01-19,11428537.0
2016-01-20,12029457.0
2016-01-21,12036422.0
2016-01-22,6450312.0
2016-01-25,6768203.0
2016-01-26,5699182.0
2016-01-27,5792528.0
2016-01-28,6919451.0
2016-01-29,7762622.0
2016-02-01,7247099.0
2016-02-02,8547710.0
2016-02-03,8169351.0
2016-02-04,8703450.0
2016-02-05,15010685.0
2016-02-08,15221320.0
2016-02-09,10634314.0
2016-02-10,8394980.0
2016-02-11,8503635.0
2016-02-12,8520367.0
2016-02-16,12133795.0
2016-02-17,19286666.0
2016-02-18,26716489.0
2016-02-19,13140732.0
2016-02-22,11241697.0
2016-02-23,9234450.0
2016-02-24,8421336.0
2016-02-25,8740367.0
2016-02-26,9049073.0
2016-02-29,8083618.0
