,open,high,low,close,volume
2015-09-14,251.1,254.25,249.67,253.19,2890851.0
2015-09-15,252.75,254.6,249.5,253.57,2933466.0
2015-09-16,253.04,262.88,252.88,262.25,4417081.0
2015-09-17,263.96,265.5,260.69,262.07,3585812.0
2015-09-18,257.96,263.82,257.5,260.62,3763064.0
2015-09-21,263.98,271.57,255.8,264.2,6120155.0
2015-09-22,259.03,262.65,255.87,260.94,3664353.0
2015-09-23,261.95,262.08,257.5838,261.06,2600778.0
2015-09-24,259.53,263.45,256.21,263.12,3448191.0
2015-09-25,266.61,266.91,256.15,256.91,3773392.0
2015-09-28,257.35,259.79,246.61,248.43,4881802.0
2015-09-29,250.46,254.73,245.46,246.65,3703154.0
2015-09-30,252.0,252.4,242.34,248.4,4879816.0
2015-10-01,247.51,248.5,237.13,239.88,4572964.0
2015-10-02,235.6,247.7,234.93,247.57,4423982.0
2015-10-05,248.84,249.84,244.13,246.15,3689865.0
2015-10-06,240.0,243.03,235.58,241.46,5235897.0
2015-10-07,236.63,237.7,229.12,231.96,6813959.0
2015-10-08,230.08,230.72,221.31,226.72,6133216.0
2015-10-09,220.93,224.37,218.36,220.69,6158370.0
2015-10-12,222.99,223.0,215.27,215.58,3836303.0
2015-10-13,213.28,222.522,211.13,219.25,5171535.0
2015-10-14,220.67,220.95,215.43,216.88,3104446.0
2015-10-15,216.43,221.73,213.7,221.31,2844233.0
2015-10-16,223.04,230.4805,222.87,227.01,4334493.0
2015-10-19,226.5,231.15,224.94,228.1,2507895.0
2015-10-20,227.72,228.6,202.0,213.03,14900047.0
2015-10-21,211.99,214.81,208.8,210.09,4183471.0
2015-10-22,211.56,215.75,209.4,211.72,2825159.0
2015-10-23,215.0,215.35,207.69,209.09,4235462.0
2015-10-26,211.38,215.88,210.0,215.26,3391438.0
2015-10-27,214.84,217.1,207.51,210.35,3519449.0
2015-10-28,211.31,213.45,208.3,212.96,2728593.0
2015-10-29,211.75,213.7481,210.64,211.63,1805032.0
2015-10-30,210.4,211.63,203.89,206.93,4438901.0
2015-11-02,208.92,215.8,207.22,213.79,3927944.0
2015-11-03,213.85,214.44,207.75,208.35,8332486.0
2015-11-04,227.0,232.74,225.2,231.63,12726366.0
2015-11-05,230.58,234.5843,229.19,231.77,4496843.0
2015-11-06,230.7,233.359,229.5,232.36,2445293.0
2015-11-09,232.99,232.99,224.31,225.33,3850860.0
2015-11-10,223.48,223.7,216.08,216.5,4617007.0
2015-11-11,217.77,219.48,213.63,219.08,3347806.0
2015-11-12,217.85,219.0,212.66,212.94,2915900.0
2015-11-13,212.95,212.99,206.52,207.19,3430327.0
2015-11-16,206.09,214.98,205.8,214.31,2925395.0
2015-11-17,215.2,216.0,211.4,214.0,2148326.0
2015-11-18,214.5,221.38,212.52,221.07,2811900.0
2015-11-19,220.54,226.19,220.3,221.8,2504375.0
2015-11-20,223.49,225.0,213.58,220.01,4400722.0
2015-11-23,217.35,219.18,214.6798,217.75,2526199.0
2015-11-24,215.37,221.0,215.0,218.25,2480293.0
2015-11-25,221.34,230.825,220.375,229.64,3990779.0
2015-11-27,231.06,232.25,227.01,231.61,1949353.0
2015-11-30,231.79,234.28,229.08,230.26,2659813.0
2015-12-01,231.06,238.0,231.05,237.19,3733955.0
2015-12-02,237.0,238.6,231.23,231.99,2981468.0
2015-12-03,235.48,237.45,230.0,232.71,2939564.0
2015-12-04,232.46,233.27,227.66,230.38,2573603.0
2015-12-07,227.7,235.63,226.15,231.13,3144223.0
2015-12-08,227.52,228.8,224.2,226.72,2687636.0
2015-12-09,226.7,227.5,220.72,224.52,3057753.0
2015-12-10,224.71,228.49,223.64,227.07,2071692.0
2015-12-11,225.24,225.75,216.64,217.02,3268726.0
2015-12-14,217.51,220.92,214.87,218.58,2831518.0
2015-12-15,221.82,222.22,218.0,221.09,2244424.0
2015-12-16,222.1,234.88,220.73,234.51,5104341.0
2015-12-17,233.94,237.76,229.8149,233.39,3298638.0
2015-12-18,232.89,235.9,229.29,230.46,3014170.0
2015-12-21,231.69,235.83,231.08,232.56,1953174.0
2015-12-22,234.99,236.55,229.63,229.95,1961495.0
2015-12-23,232.18,233.45,228.13,229.7,1554979.0
2015-12-24,230.56,231.88,228.28,230.57,710277.0
2015-12-28,231.49,231.98,225.54,228.95,1901304.0
2015-12-29,230.06,237.72,229.547,237.19,2406290.0
2015-12-30,236.6,243.634,235.6707,238.09,3697921.0
2015-12-31,238.51,243.45,238.37,240.01,2715038.0
2016-01-04,230.72,231.38,219.0,223.41,6827146.0
2016-01-05,226.36,226.89,220.0,223.43,3186752.0
2016-01-06,220.0,220.05,215.98,219.04,3779128.0
2016-01-07,214.19,218.44,213.67,215.65,3554251.0
2016-01-08,217.86,220.44,210.77,211.0,3628058.0
2016-01-11,214.01,214.45,203.0,207.85,4091422.0
2016-01-12,211.6,213.7395,205.31,209.97,3091917.0
2016-01-13,212.01,212.65,200.0,200.31,4126416.0
2016-01-14,202.21,210.0,193.38,206.18,6490741.0
