,volume
2015-09-14,2890851.0
2015-09-15,2933466.0
2015-09-16,4417081.0
2015-09-17,3585812.0
2015-09-18,3763064.0
2015-09-21,6120155.0
2015-09-22,3664353.0
2015-09-23,2600778.0
2015-09-24,3448191.0
2015-09-25,3773392.0
2015-09-28,4881802.0
2015-09-29,3703154.0
2015-09-30,4879816.0
2015-10-01,4572964.0
2015-10-02,4423982.0
2015-10-05,3689865.0
2015-10-06,5235897.0
2015-10-07,6813959.0
2015-10-08,6133216.0
2015-10-09,6158370.0
2015-10-12,3836303.0
2015-10-13,5171535.0
2015-10-14,3104446.0
2015-10-15,2844233.0
2015-10-16,4334493.0
2015-10-19,2507895.0
2015-10-20,14900047.0
2015-10-21,4183471.0
2015-10-22,2825159.0
2015-10-23,4235462.0
2015-10-26,3391438.0
2015-10-27,3519449.0
2015-10-28,2728593.0
2015-10-29,1805032.0
2015-10-30,4438901.0
2015-11-02,3927944.0
2015-11-03,8332486.0
2015-11-04,12726366.0
2015-11-05,4496843.0
2015-11-06,2445293.0
2015-11-09,3850860.0
2015-11-10,4617007.0
2015-11-11,3347806.0
2015-11-12,2915900.0
2015-11-13,3430327.0
2015-11-16,2925395.0
2015-11-17,2148326.0
2015-11-18,2811900.0
2015-11-19,2504375.0
2015-11-20,4400722.0
2015-11-23,2526199.0
2015-11-24,2480293.0
2015-11-25,3990779.0
2015-11-27,1949353.0
2015-11-30,2659813.0
2015-12-01,3733955.0
2015-12-02,2981468.0
2015-12-03,2939564.0
2015-12-04,2573603.0
2015-12-07,3144223.0
2015-12-08,2687636.0
2015-12-09,3057753.0
2015-12-10,2071692.0
2015-12-11,3268726.0
2015-12-14,2831518.0
2015-12-15,2244424.0
2015-12-16,5104341.0
2015-12-17,3298638.0
2015-12-18,3014170.0
2015-12-21,1953174.0
2015-12-22,1961495.0
2015-12-23,1554979.0
2015-12-24,710277.0
2015-12-28,1901304.0
2015-12-29,2406290.0
2015-12-30,3697921.0
2015-12-31,2715038.0
2016-01-04,6827146.0
2016-01-05,3186752.0
2016-01-06,3779128.0
2016-01-07,3554251.0
2016-01-08,3628058.0
2016-01-11,4091422.0
2016-01-12,3091917.0
2016-01-13,4126416.0
2016-01-14,6490741.0
2016-01-15,5578640.0
2016-01-19,4038676.0
2016-01-20,5838608.0
2016-01-21,3166159.0
2016-01-22,3124055.0
2016-01-25,2698739.0
2016-01-26,4964180.0
2016-01-27,3617221.0
2016-01-28,4592754.0
2016-01-29,2852289.0
2016-02-01,5297639.0
2016-02-02,5773637.0
2016-02-03,7931362.0
2016-02-04,4385366.0
2016-02-05,9437591.0
2016-02-08,9312988.0
2016-02-09,8651648.0
2016-02-10,10406513.0
2016-02-11,14252364.0
2016-02-12,7235783.0
2016-02-16,5593794.0
2016-02-17,5825159.0
2016-02-18,3887574.0
2016-02-19,2959390.0
2016-02-22,5060051.0
2016-02-23,5984374.0
2016-02-24,5395609.0
2016-02-25,5750741.0
2016-02-26,6065117.0
2016-02-29,4498997.0
